Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
China	667070000	660330000	665770000	682335000	698355000	715185000	735400000	754550000	774510000	796025000	818315000	841105000	862030000	881940000	900350000	916395000	930685000	943455000	956165000	969005000	981235000	993885000	1008630000	1023310000	1036825000	1051040000	1066790000	1084035000	1101630000	1118650000	1135185000	1150780000	1164970000	1178440000	1191835000	1204855000	1217550000	1230075000	1241935000	1252735000	1262645000	1271850000	1280400000	1288400000	1296075000	1303720000	1311020000	1317885000	1324655000	1331260000	1337705000	1344130000	1350695000	1357380000
Colombia	16006395	16488996	16986307	17497712	18022435	18559236	19108959	19669838	20234946	20795270	21344781	21880185	22404289	22924755	23452703	23996249	24557647	25134640	25725336	26326236	26934591	27550172	28173493	28803276	29438030	30076525	30718127	31362479	32009024	32657292	33306941	33957286	34608171	35260456	35915434	36573895	37236124	37901358	38568056	39234115	39897984	40558648	41216304	41872051	42527623	43184026	43841370	44498390	45153037	45802561	46444798	47078792	47704427	48321405
Costa Rica	1334044	1381532	1431088	1481890	1532828	1583078	1632500	1681241	1729135	1776076	1822106	1867044	1911212	1955790	2002358	2052076	2105377	2162047	2221800	2284076	2348427	2414832	2483355	2553714	2625561	2698616	2772823	2848141	2924348	3001196	3078551	3155979	3233568	3312307	3393575	3478197	3566605	3658020	3750585	3841734	3929588	4013488	4093840	4171145	4246336	4320130	4392493	4463226	4532711	4601424	4669685	4737680	4805295	4872166
Croatia	4140000	4171672	4202104	4231408	4259680	4287000	4313000	4339000	4364000	4387000	4411000	4435000	4457000	4478000	4497000	4514000	4530000	4532000	4556000	4571000	4588000	4608000	4635000	4659000	4680000	4701000	4722000	4740000	4757000	4767000	4780000	4510000	4470000	4640000	4650000	4669000	4494000	4572000	4501000	4554000	4426000	4440000	4440000	4440000	4439000	4442000	4440000	4436000	4434508	4429078	4417781	4280622	4267558	4252700
Cuba	7141130	7289830	7450405	7618358	7787144	7951916	8110405	8263513	8413282	8563130	8715054	8869924	9025344	9176167	9315458	9438366	9543798	9633669	9710009	9776117	9835085	9886228	9930589	9975082	10028578	10097020	10183690	10285920	10396268	10503898	10600841	10684831	10757891	10821551	10878823	10932013	10980758	11024249	11063917	11101580	11138416	11175465	11212125	11245926	11273363	11292078	11301100	11301674	11296355	11288826	11281768	11276053	11270957	11265629
Czech Republic	9602006	9586651	9624660	9670685	9727804	9779358	9821040	9852899	9876346	9896580	9858071	9826815	9867632	9922266	9988459	10058620	10125939	10186755	10242098	10292341	10304193	10300591	10314826	10323856	10330213	10337118	10342227	10347318	10355276	10361068	10333355	10308578	10319123	10329855	10333587	10327253	10315241	10304131	10294373	10283860	10255063	10216605	10196916	10193998	10197101	10211216	10238905	10298828	10384603	10443936	10474410	10496088	10510785	10521468
Denmark	4579603	4611687	4647727	4684483	4722072	4759012	4797381	4835354	4864883	4891860	4928757	4963126	4991596	5021861	5045297	5059862	5072596	5088419	5104248	5116801	5123027	5121572	5117810	5114297	5111619	5113691	5120534	5127024	5129516	5132594	5140939	5154298	5171370	5188628	5206180	5233373	5263074	5284991	5304219	5321799	5339616	5358783	5375931	5390574	5404523	5419432	5437272	5461438	5493621	5523095	5547683	5570572	5591572	5613706
Dominican Republic	3311788	3424702	3540319	3658264	3778110	3899504	4022212	4146104	4271065	4397027	4523917	4651703	4780283	4909454	5038976	5168720	5298530	5428547	5559298	5691517	5825715	5962066	6100385	6240380	6381602	6523696	6666429	6809797	6953918	7099011	7245127	7392389	7540421	7688196	7834359	7977966	8118570	8256496	8392534	8527881	8663421	8799298	8935261	9071318	9207389	9343362	9479269	9615015	9750195	9884265	10016797	10147598	10276621	10403761
Ecuador	4514593	4644682	4779559	4919224	5063645	5212760	5366554	5524930	5687634	5854337	6024764	6198787	6376333	6557257	6741417	6928694	7119087	7312553	7508899	7707895	7909432	8113200	8319351	8528791	8742761	8962049	9186995	9417031	9650906	9886866	10123593	10360630	10598168	10836327	11075454	11315800	11557151	11799289	12042454	12286995	12533087	12780869	13030041	13279806	13529091	13777131	14023503	14268397	14512402	14756424	15001072	15246481	15492264	15737878
Egypt	27997745	28785879	29590639	30409962	31241836	32083955	32937066	33798820	34660399	35510567	36342268	37152209	37945429	38733784	39533995	40359038	41212513	42093668	43005773	43951351	44931971	45945655	46991385	48071851	49190419	50346551	51545011	52776850	54011214	55207254	56336614	57387589	58370712	59307778	60231864	61168397	62123592	63094069	64084443	65097777	66136590	67204189	68302914	69432477	70591288	71777678	72990754	74229577	75491922	76775023	78075705	79392466	80721874	82056378
