Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Sri Lanka	9896000	10168000	10443000	10582000	10903000	11164000	11439000	11703000	11992000	12252000	12514000	12690000	12861000	13091000	13284000	13496000	13717000	13942000	14190000	14472000	14747000	14847000	15196000	15417000	15603000	15842000	16127000	16373000	16599000	16825000	17015000	17267000	17426000	17646000	17891000	18136000	18336000	18568000	18784000	19056000	19102000	18797000	18921000	19173000	19435000	19644000	19858000	20039000	20217000	20450000	20653000	20869000	20328000	20483000
Sudan	7527450	7749884	7981797	8223613	8475765	8738703	9013112	9299545	9598196	9909152	10232758	10568788	10918137	11283574	11668674	12075841	12506035	12958110	13429688	13917268	14418063	14935032	15469003	16012898	16557307	17097619	17622954	18139966	18682216	19295483	20008804	20840825	21771781	22745490	23683211	24529722	25263021	25903704	26491253	27085465	27729798	28434810	29186427	29973979	30778572	31585871	32397535	33218250	34040065	34853178	35652002	36430923	37195349	37964306
Sweden	7484656	7519998	7561588	7604328	7661354	7733853	7807797	7867931	7912273	7968072	8042801	8098334	8122300	8136312	8159955	8192437	8222286	8251540	8275599	8293678	8310531	8320503	8325263	8329033	8336605	8350386	8369829	8397804	8436489	8492964	8558835	8617375	8668067	8718561	8780745	8826939	8840998	8846062	8850974	8857874	8872109	8895960	8924958	8958229	8993531	9029572	9080505	9148092	9219637	9298515	9378126	9449213	9519374	9592552
Switzerland	5327827	5434294	5573815	5694247	5789228	5856472	5918002	5991785	6067714	6136387	6180877	6213399	6260956	6307347	6341405	6338632	6302504	6281174	6281738	6294365	6319408	6354074	6391309	6418773	6441865	6470365	6504124	6545106	6593386	6646912	6715519	6799978	6875364	6938265	6993795	7040687	7071850	7088906	7110001	7143991	7184250	7229854	7284753	7339001	7389625	7437115	7483934	7551117	7647675	7743831	7824909	7912398	7996861	8081482
Thailand	27362310	28195264	29058659	29951191	30870998	31816307	32784476	33774079	34785711	35820705	36878580	37959301	39057780	40162277	41257648	42332566	43382444	44408422	45412214	46397977	47369137	48319564	49247430	50165305	51090390	52031925	53003237	53993052	54956736	55833321	56582726	57184324	57661001	58069612	58491145	58983954	59562136	60206941	60903042	61623143	62343379	63069070	63797841	64488338	65087400	65559487	65883961	66076927	66185340	66277335	66402316	66576332	66785001	67010502
Turkey	27553280	28229291	28909985	29597047	30292969	31000167	31718266	32448404	33196289	33969201	34772031	35608079	36475356	37366922	38272701	39185637	40100696	41020211	41953105	42912350	43905790	44936836	45997940	47072603	48138191	49178079	50186914	51168270	52125597	53065801	53994605	54911233	55815175	56713073	57613441	58522320	59442502	60372413	61308204	62243779	63174483	64100297	65022300	65938265	66845635	67743052	68626337	69496513	70363511	71241080	72137546	73058638	73997128	74932641
Uganda	6788211	7006629	7240155	7487412	7746181	8014376	8292751	8580647	8872890	9162794	9446024	9720388	9988441	10256553	10533820	10827097	11139632	11470628	11818135	12178512	12549779	12930714	13324390	13738114	14181630	14661481	15180721	15736176	16320417	16922648	17534839	18156095	18788440	19430461	20081152	20740726	21407693	22084527	22780451	23507800	24275641	25088033	25943441	26838428	27766986	28724869	29711397	30728747	31778799	32864328	33987213	35148064	36345860	37578876
Ukraine	42662162	43203646	43749474	44285898	44794336	45261976	45682418	46060661	46409304	46746974	47086954	47433774	47782683	48126562	48454371	48758333	49036548	49292500	49530219	49755806	49973757	50221000	50384000	50564000	50754000	50917000	51097000	51293000	51521000	51773000	51892000	52000470	52150266	52179210	51921041	51512299	51057189	50594105	50143939	49673350	49175848	48683865	48202500	47812950	47451600	47105150	46787750	46509350	46258200	46053300	45870700	45706100	45593300	45489600
United Kingdom	52400000	52800000	53250000	53650000	54000000	54348050	54648500	54943600	55211700	55441750	55663250	55896223	56086065	56194527	56229974	56225800	56211968	56193492	56196504	56246951	56314216	56333829	56313641	56332848	56422072	56550268	56681396	56802050	56928327	57076711	57247586	57424897	57580402	57718614	57865745	58019030	58166950	58316954	58487141	58682466	58892514	59119673	59370479	59647577	59987905	60401206	60846820	61322463	61806995	62276270	62766365	63258918	63695687	64097085
United States	180671000	183691000	186538000	189242000	191889000	194303000	196560000	198712000	200706000	202677000	205052000	207661000	209896000	211909000	213854000	215973000	218035000	220239000	222585000	225055000	227225000	229466000	231664000	233792000	235825000	237924000	240133000	242289000	244499000	246819000	249623000	252981000	256514000	259919000	263126000	266278000	269394000	272657000	275854000	279040000	282162411	284968955	287625193	290107933	292805298	295516599	298379912	301231207	304093966	306771529	309326295	311582564	313873685	316128839
Uzbekistan	8558503	8871244	9201176	9542785	9888629	10233502	10574523	10913360	11254896	11606438	11972994	12356359	12753995	13161372	13571927	13980997	14386952	14791449	15197091	15607909	16026812	16454356	16889450	17331390	17778956	18231176	18686358	19144237	19606739	20076683	20510000	20952000	21449000	21942000	22377000	22785000	23225000	23667000	24051000	24311650	24650400	24964450	25271850	25567650	25864350	26167000	26488250	26868000	27302800	27767400	28562400	29339400	29774500	30241100
Venezuela	7580281	7872644	8172322	8477485	8785731	9095742	9406598	9719951	10040248	10373554	10724328	11093065	11478612	11881567	12302193	12739894	13196169	13669054	14150223	14628595	15096432	15549525	15990376	16426198	16867806	17322754	17793283	18275997	18766017	19256060	19740786	20218813	20691641	21160262	21626607	22092144	22556838	23020184	23482700	23945002	24407553	24870441	25333622	25797219	26261326	26725897	27190882	27655937	28120312	28583040	29043283	29500625	29954782	30405207
Vietnam	34743000	35428000	36123000	36836000	37574000	38341000	39142000	39980000	40856000	41773000	42729000	43725000	44758000	45825000	46918000	48030000	49158000	50295000	51436000	52574000	53700000	54722000	55687000	56655000	57692000	58868000	60249000	61750000	63263000	64774000	66016700	67242400	68450100	69644500	70824500	71995500	73156700	74306900	75456300	76596700	77630900	78621000	79538700	80468400	81437700	82393500	83313000	84221100	85122300	86025000	86932500	87840000	88772900	89708900
Zimbabwe	3752390	3876638	4006261	4140802	4279559	4422129	4568317	4718609	4874109	5036316	5206305	5385328	5573282	5768337	5967819	6170266	6373946	6580696	6796863	7031084	7289069	7572129	7876786	8197858	8527836	8860331	9193889	9527192	9854098	10167392	10461782	10733048	10981267	11210802	11428655	11639364	11846110	12045813	12229500	12384727	12503652	12586763	12640922	12673103	12693047	12710589	12724308	12740160	12784041	12888918	13076978	13358738	13724317	14149648
Other Contries	305653137	313037603	320483945	328034123	335681429	343487842	351436420	359573821	367868494	376291821	384732874	393484717	402570947	411676947	420903704	430319013	439834370	449507403	459401550	469819642	480514834	491697393	503226450	514958354	526755383	538633770	550708762	562910807	575130369	587283536	601344881	613752058	624173549	636631865	649155754	663544059	676837921	690302204	704022078	717625778	731645869	745537717	759368706	772969008	787310094	802354813	818427982	835271179	852924425	870652904	888277122	906091675	924099551	942216823
